[Header]
TITLE,20220201-VERTICAL_2.Dat
BYAPP,HeatCapacity,3.9.6,1.7
INFO,2.8,MASS:Sample Mass (mg)
INFO,,MASSERR:Sample Mass Error (mg)
INFO,985.272,MOLWGHT:Formula Weight (g/mole)
INFO,,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.6 Build 3,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (J/mole-K),Samp HC Err (J/mole-K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (J/mole-K/K),Addenda Offset HC (µJ/K)
3852898119.97625,,1857,23.0004,23.0004,0.2758517,9.8999999E-6,23.188604,0.47113574,37.906993,0.1393,103.79266,0.2546,211.51883,0.3957,0.21974782,8.3888104,0.074294719,96.514765,,,1,,,,2.5452706E-5,15.39382,537.71134,1.6347251,0
3852898385.68142,,1857,25.0003,25.0003,0.20389038,9.8999999E-6,25.209569,0.51217883,43.369805,0.17,123.20339,0.3202,246.45408,0.483,0.22641445,9.0534988,0.082734233,96.409329,,,1,,,,2.7477893E-5,16.777621,635.52238,1.7203707,0
3852898679.44337,,1857,27.0003,27.0003,0.2278775,9.8999999E-6,27.235965,0.55593668,49.038674,0.1732,143.69598,0.3312,283.05677,0.4921,0.24092701,9.6931263,0.089186277,96.386376,,,1,,,,2.9469673E-5,18.106998,741.79779,1.8005117,0
3852898983.34834,,1857,29.0004,29.0004,0.2758517,9.8999999E-6,29.25258,0.59403604,54.776597,0.2069,165.39666,0.4127,321.06379,0.588,0.21543059,10.369485,0.10052038,96.196098,,,1,,,,3.1253028E-5,19.386253,855.71343,1.872539,0
3852899312.89077,,1857,30.9998,30.9998,0.2278775,9.8999999E-6,31.278357,0.63981896,60.434292,0.2462,188.39299,0.5144,360.13848,0.6997,0.19555918,11.00881,0.10911919,96.109936,,,1,,,,3.301783E-5,20.73897,978.33563,1.9321441,0
3852899668.03607,,1857,32.9994,32.9994,0.25186461,9.8999999E-6,33.302076,0.67743496,66.169077,0.2619,212.07337,0.5553,400.11628,0.7444,0.20260794,11.617527,0.11839663,95.999048,,,1,,,,3.4761078E-5,22.01762,1109.0283,1.9869355,0
3852900043.11407,,1857,35.0002,35.0002,0.23987105,9.8999999E-6,35.323531,0.72284787,71.589004,0.2819,236.61833,0.5723,440.06389,0.801,0.17789336,12.241482,0.12888653,95.863615,,,1,,,,3.6283663E-5,23.235053,1247.7519,2.0266661,0
3852900437.09122,,1857,36.9996,36.9996,0.2278775,9.8999999E-6,37.351157,0.76112033,76.80351,0.3022,262.87981,0.6108,481.14423,0.8587,0.17982838,12.813398,0.14066771,95.681933,,,1,,,,3.7902725E-5,24.482964,1395.109,2.0562552,0
3852900846.10787,,1857,39.0003,39.0003,0.20389038,9.8999999E-6,39.373773,0.8008691,81.938101,0.3458,291.53575,0.7216,524.39193,0.9828,0.18318437,13.432774,0.15681327,95.401475,,,1,,,,3.9413707E-5,25.626795,1550.294,2.0810325,0
3852901212.99601,CALFILE: C:\QDDYNA~1\HEATCA~1\TempCal\Standard\Puck3139_1.cal|Addenda #16 measured on 2022/1/29 from 40.352 to 201.81 K
3852901212.9967,,1857,40.0001,40.0001,0.20389038,9.8999999E-6,40.400947,0.80827653,86.145706,0.6479,305.38052,0.7372,550.19411,1.687,2.3483185,13.071392,,,,,1,,,,4.2091469E-5,24.304268,1632.2365,2.1322695,0
3852901767.80318,,1857,45.0001,45.0001,0.25186461,9.8999999E-6,45.380392,0.80931168,98.648262,0.8399,379.44218,0.8382,659.78622,2.235,0.56952781,14.586373,,,,,1,,,,4.5233055E-5,26.142785,2059.38,2.1738081,0
3852902386.47336,,1857,49.9994,49.9994,0.26385817,9.8999999E-6,50.421137,0.90156215,110.55371,0.9339,465.07308,0.931,779.25067,2.485,0.49870766,16.003909,,,,,1,,,,4.8691271E-5,29.172746,2542.291,2.1926064,0
3852903070.94125,,1857,55,55,0.2758517,9.8999999E-6,55.471803,0.99456869,120.99504,1.033,559.66826,1.017,903.51861,2.753,0.51064019,17.391826,,,,,1,,,,5.1950762E-5,32.007818,3077.1209,2.181199,0
3852903806.05118,,1857,60.0007,60.0007,0.25186461,9.8999999E-6,60.516929,1.0854201,130.54062,1.138,664.60099,1.077,1035.5785,3.051,0.4346215,18.793557,,,,,1,,,,5.5102847E-5,34.783652,3662.2987,2.1570926,0
3852904594.95473,,1857,65.0007,65.0007,0.28784525,9.8999999E-6,65.558593,1.1954935,136.45447,0.672,781.65106,1.245,1169.4348,1.91,0.12612917,20.882552,0.310004,93.633062,,,1,,,,5.6425648E-5,37.587113,4297.9291,2.0814124,0
3852905438.72691,,1857,69.9998,69.9998,0.2758517,9.8999999E-6,70.624612,1.3128126,144.50961,0.7163,909.55905,1.282,1320.2344,2.036,0.13591482,22.310942,0.34981549,93.089484,,,1,,,,5.9606168E-5,41.765103,4987.8358,2.046165,0
3852906334.68515,,1857,75.0004,75.0004,0.2278775,9.8999999E-6,75.687695,1.4064854,151.15413,0.7584,1049.5,1.391,1479.0581,2.155,0.13606455,23.717982,0.37692735,92.751217,,,1,,,,6.2777962E-5,44.621885,5728.6272,1.9970767,0
3852907256.18656,,1857,80.0004,80.0004,0.2758517,9.8999999E-6,80.725118,1.4981162,157.26028,0.885,1201.1435,1.578,1648.0543,2.515,0.12520318,25.193051,0.4207471,92.116025,,,1,,,,6.5835778E-5,47.435964,6516.5446,1.948096,0
3852908228.03269,,1857,85.0004,85.0004,0.29983881,9.8999999E-6,85.776941,1.5942217,163.2128,0.9459,1360.7377,1.757,1824.5648,2.688,0.12775985,26.566849,0.44016423,91.877255,,,1,,,,6.9077285E-5,50.386101,7357.6837,1.9027585,0
3852909225.05578,,1857,90.0004,90.0004,0.2758517,9.8999999E-6,90.823159,1.691959,168.18983,1.082,1529.0437,2.099,2007.0147,3.075,0.12889687,28.003431,0.48542625,91.190126,,,1,,,,7.2069984E-5,53.133697,8248.8462,1.8518385,0
3852910238.12276,,1857,95.0003,95.0003,0.26385817,9.8999999E-6,95.868852,1.7910058,172.78941,1.191,1709.4061,2.243,2200.4485,3.386,0.12981898,29.438093,0.54837754,90.200316,,,1,,,,7.5160466E-5,56.006862,9190.8369,1.802352,0
3852911295.35014,,1857,100.001,100.001,0.26385817,9.8999999E-6,100.92081,1.8888754,177.37745,1.284,1897.9094,2.554,2401.9904,3.65,0.13113081,30.697102,0.55712385,90.046323,,,1,,,,7.8636127E-5,58.876185,10185.009,1.7575905,0
3852912363.78472,,1857,105.001,105.001,0.23987105,9.8999999E-6,105.9533,1.983998,181.61109,1.352,2093.2014,2.556,2609.3138,3.841,0.1263151,32.050536,0.61857517,89.060762,,,1,,,,8.1811449E-5,61.394203,11226.102,1.7140673,0
3852913441.77147,,1857,110,110,0.31183237,9.8999999E-6,110.994,2.0838775,185.41956,1.558,2294.1067,2.986,2821.0422,4.428,0.11306317,33.312274,0.65667826,88.418142,,,1,,,,8.5079611E-5,64.101071,12319.668,1.6705368,0
3852914561.54219,,1857,115,115,0.31183237,9.8999999E-6,116.0543,2.1829819,188.9682,1.537,2498.5824,3.056,3035.6026,4.369,0.13032577,34.407532,0.65945747,88.281311,,,1,,,,8.8598654E-5,66.624548,13468.601,1.628274,0
3852915683.80987,,1857,120.001,120.001,0.26385817,9.8999999E-6,121.09546,2.2780321,190.48099,1.717,2710.2981,3.37,3251.6174,4.878,0.12062015,35.580943,0.73610266,86.929167,,,1,,,,9.1775393E-5,68.815064,14664.11,1.5729821,0
3852916803.30132,,1857,125.001,125.001,0.28784525,9.8999999E-6,126.13646,2.3740836,195.10433,1.848,2920.8689,3.492,3475.3271,5.252,0.10831854,36.686014,0.8018422,85.880989,,,1,,,,9.5136973E-5,71.161887,15910.406,1.5467719,0
3852917950.48798,,1857,130,130,0.25186461,9.8999999E-6,131.19376,2.4707062,197.73455,1.908,3136.5215,3.766,3698.4544,5.424,0.12316084,37.564543,0.79567986,85.787243,,,1,,,,9.8840728E-5,73.372028,17211.802,1.5071948,0
3852919080.47741,,1857,135.001,135.001,0.2758517,9.8999999E-6,136.2272,2.562186,200.80604,2.066,3352.5193,3.911,3923.181,5.872,0.11315573,38.54037,0.86113477,84.661971,,,1,,,,0.00010219322,75.129086,18557.849,1.4740525,0
3852920205.94555,,1857,140,140,0.29983881,9.8999999E-6,141.27381,2.6595702,203.77323,2.222,3569.8187,4.147,4148.9126,6.314,0.10352295,39.415094,0.94897185,83.187905,,,1,,,,0.00010568673,77.080739,19958.291,1.4423992,0
3852921350.01952,,1857,145,145,0.25186461,9.8999999E-6,146.33689,2.7549008,206.64559,2.222,3786.801,4.155,4374.0578,6.315,0.10974909,40.049919,0.90469502,83.629599,,,1,,,,0.00010960945,78.830187,21414.486,1.4121223,0
3852922515.40672,,1857,150.001,150.001,0.21588394,9.8999999E-6,151.40171,2.8469789,207.69525,2.345,4009.156,4.835,4599.3957,6.666,0.12006539,40.623514,0.89391845,83.470319,,,1,,,,0.00011359761,80.099839,22922.479,1.3718157,0
3852923651.35841,,1857,155,155,0.23987105,9.8999999E-6,156.43628,2.934599,210.78715,2.469,4224.642,4.668,4823.6685,7.017,0.10631479,41.327491,1.0042229,81.63226,,,1,,,,0.00011713329,81.247028,24472.31,1.3474314,0
3852924808.34509,,1857,160.001,160.001,0.26385817,9.8999999E-6,161.50477,3.0344488,213.52283,2.412,4439.8253,4.587,5046.6262,6.856,0.11400503,41.725815,0.94453086,82.280171,,,1,,,,0.00012133266,82.654983,26083.79,1.3220837,0
3852925932.21452,,1857,165.001,165.001,0.2278775,9.8999999E-6,166.52974,3.1231172,216.84779,2.784,4651.1457,5.297,5267.3956,7.912,0.10203755,42.302361,1.054187,80.45855,,,1,,,,0.00012494232,83.45163,27732.154,1.3021565,0
3852927071.73862,,1857,170.001,170.001,0.2278775,9.8999999E-6,171.58951,3.2227043,219.53342,2.749,4862.2903,5.246,5486.1724,7.812,0.10860143,42.584291,1.0106377,80.843758,,,1,,,,0.0001292353,84.604723,29442.961,1.2794105,0
3852928223.4353,,1857,175.001,175.001,0.2278775,9.8999999E-6,176.64275,3.3103861,220.72304,2.711,5074.4156,5.202,5701.6784,7.704,0.11266518,42.81951,1.0226834,80.294245,,,1,,,,0.00013356131,85.168582,31202.662,1.2495448,0
